paragraph,'pærəɡræf,n. 段落；短评；段落符号；v. 将…分段,the opening paragraphs of the novel,小说开篇的几个段落
influence,'ɪnfluəns,n. 影响；势力；感化；有影响的人或事；v. 影响；改变,"As a scientist, his influence was immense.",身为一名科学家，他的影响力极大。
intellectual,",ɪntə'lɛktʃuəl",adj. 智力的；聪明的；理智的；n. 知识分子；凭理智做事者,Mark’s very intellectual.,马克很聪明。
political,pə'lɪtɪkl,adj. 政治的；党派的,All other political parties there have been completely banned.,那里的其他所有政党都已经完全被取缔了。
science,'saɪəns,n. 科学；技术；学科；理科,Many leading scientists do not consider that science can give absolutely reliable knowledge.,许多杰出科学家都不认为科学能够提供绝对可靠的知识。
economic,"ˌikəˈnɑmɪk, ˌɛkəˈ-nɑmɪk",adj. 经济的，经济上的；经济学的,Economic growth is slow.,经济增长缓慢。
century,'sɛntʃəri,n. 世纪，百年；（板球）一百分,the story of life on a small farm at the turn of the century,讲述世纪初一个小农场生活的故事
increase,'ɪnkris,n. 增加，增长；提高；v. 增加，增大；繁殖,Recent tax increases have affected the poor more than the rich.,新近的增税对穷人的影响比对富人的大。
stress,strɛs,n. 压力；强调；紧张；重要性；重读；v. 强调；使紧张；加压力于；用重音读,Your headaches are due to stress.,你的头痛是压力造成的。
power,'paʊɚ,n. 力量，能力；电力，功率；政权，势力；[数] 幂；v. 激励；供以动力；使…有力量；adj. 借影响有权势人物以操纵权力的,They seized power in a military coup.,他们在一场军事政变中夺取了政权。
national,'næʃnəl,adj. 国家的；国民的；民族的；国立的；n. 国民,Religion matters very much at a national level.,宗教事务在全国都非常重要。
consider,kən'sɪdɚ,v. 考虑；认为；考虑到；细想,We will have to consider your offer carefully .,我们得仔细考虑你的提议。
process,'prɑsɛs,v. 处理；加工；n. 过程，进行；方法，步骤；作用；程序；推移；adj. 经过特殊加工（或处理）的,Goats’ cheese may be processed in many ways.,山羊奶干酪可以有多种加工方法。
create,krɪ'et,v. 创造，创作；造成,Some people believe the universe was created by a big explosion.,有些人认为宇宙是通过一次大爆炸创造出来的。
drug,drʌg,n. 药；毒品；麻醉药；滞销货；v. 使服麻醉药；使服毒品；掺麻醉药于,A lot of young people start taking drugs at school.,许多年轻人上学时开始吸毒。
care,kɛr,n. 关怀；照料；谨慎；忧虑；v. 照顾；关心；喜爱；顾虑,high standards of medical care,高水平的医疗护理
group,ɡrup,n. 组；团体；adj. 群的；团体的；v. 聚合,A group of us are going to London.,我们有一群人要去伦敦。
discovery,dɪ'skʌvəri,n. 发现，发觉；被发现的事物,I felt I'd made an incredible discovery.,我感到自己有了一个惊人的发现。
include,ɪn'klud,v. 包含，包括,Does the price include postage?,这个价格包含邮费吗？
price,praɪs,n. 价格；价值；代价；v. 给……定价；问……的价格,They may pay a high price for their few years of glory.,为了短短几年的辉煌，他们也许要付出高昂的代价。
sector,'sɛktɚ,n. 部门；扇形，扇区；象限仪；函数尺；vt. 把…分成扇形,...the nation's manufacturing sector.,…该国的制造部门。
service,'sɝvɪs,n. 服务，服侍；服役；仪式；adj. 服务性的；耐用的；服现役的；v. 维修，检修；保养,the health service,医疗保健服务
search,sɝtʃ,v. 搜寻；调查；探求；n. 搜寻；探究，查究,It was too dark to search further.,天太暗，无法继续寻找。
experience,ɪk'spɪrɪəns,n. 经验；经历；体验；v. 经验；经历；体验,"The advice in the booklet reflects the practical experience we have gained (= experience gained by actually doing something, rather than knowledge from books etc ).",小册子中的建议反映了我们所获得的实践经验。
require,rɪ'kwaɪr,v. 需要；要求；命令,Campbell’s broken leg will probably require surgery.,坎贝尔的一条腿骨折，可能需要手术。
individual,",ɪndɪ'vɪdʒuəl",adj. 个人的；个别的；独特的；n. 个人，个体,Each individual leaf on the tree is different.,树上每片叶子都不相同。
scientific,",saɪən'tɪfɪk",adj. 科学的，系统的,We believe in investing in scientific research.,我们相信科学研究的投资价值。
attention,ə'tɛnʃən,n. 注意力；关心；立正！（口令）,My attention wasn’t really on the game.,我的注意力其实不在比赛上。
influential,",ɪnflu'ɛnʃl",adj. 有影响的；有势力的；n. 有影响力的人物,He had influential friends.,他有一些有影响力的朋友。
court,kɔrt,n. 法院；球场；朝廷；奉承；v. 招致（失败、危险等）；向…献殷勤；设法获得,It could not be proved in a court of law.,这无法在法庭上证实。
law,lɔ,n. 法律；规律；法治；法学；诉讼；司法界；vi. 起诉；控告；vt. 控告；对…起诉,Elected officials ought to obey the law.,民选官员理应遵守法律。
federal,'fɛdərəl,adj. 联邦的；同盟的；联邦政府的； 联邦制的；adv. 联邦政府地；n. (Federal)人名；(英)费德勒尔,Switzerland is a federal republic.,瑞士是一个联邦共和国。
past,pæst,n. 过去；往事；adj. 过去的；结束的；prep. 越过；晚于；adv. 过；经过,You mustn’t think about it. It’s all in the past now.,你千万不要再想那件事，现在一切都过去了。
deal,dil,v. 处理；给予；分配；发牌；n. 交易；（美）政策；待遇；份量,Whose turn is it to deal?,轮到谁发牌了？
rise,raɪz,v. 上升；增强；起立；高耸；n. 上升；高地；增加；出现,The police seem unable to cope with the rising tide of (= large increase in ) car crime.,面对日益增多的汽车罪案，警方似乎无能为力。
limit,'lɪmɪt,n. 限制；限度；界线；v. 限制；限定,a 55 mph speed limit,55英里的时速限制
peer,pɪr,n. 贵族；同等的人；同龄人；v. 凝视，盯着看；窥视,American children did less well in math than their peers in Japan.,美国儿童的数学成绩不如日本的同龄儿童。
scientist,'saɪəntɪst,n. 科学家,Scientists say they've already collected more data than had been expected.,科学家们说他们已经搜集到比预期更多的数据。
financial,faɪ'nænʃl,adj. 金融的；财政的，财务的,financial transactions,财务往来
report,rɪ'pɔrt,n. 报告；报道；成绩单；v. 报告；报导；使报到,"According to recent news reports , two of the victims are Americans.",根据近期的新闻报道，受害者中有两名是美国人。
issue,'ɪʃu,n. 问题；流出；期号；发行物；v. 发行，发布；发给；放出，排出,Abortion is a highly controversial issue.,堕胎是个很有争议的话题。
risk,rɪsk,n. 风险；危险；冒险；v. 冒…的危险,"It was a risk, sending a letter to my house.",将信寄到我家是冒险。
method,'mɛθəd,n. 方法；条理；类函数；adj. 使用体验派表演方法的,traditional teaching methods,传统的教学法
publish,'pʌblɪʃ,v. 出版；发表；公布,The first edition was published in 1765.,第一版于1765年出版。
practice,'præktɪs,n. 实践；练习；惯例；v. 练习；实习；实行,It takes hours of practice to learn to play the guitar.,学习弹吉他需要长时间的练习。
future,'fjʊtʃɚ,n. 未来；前途；期货；将来时；adj. 将来的，未来的,The islands should have the right to decide their own future.,这些岛屿应当有权决定自己的未来。
function,'fʌŋkʃən,n. 功能；[数] 函数；职责；盛大的集会；v. 运行；活动；行使职责,"The nervous system regulates our bodily functions (= eating, breathing, going to the toilet etc ) .",神经系统控制着我们身体的功能。
evidence,'ɛvɪdəns,n. 证据，证明；迹象；明显；v. 证明,Murrow’s evidence was enough to convict Hayes of murder.,默罗的证词足以证明海斯犯了谋杀罪。
pressure,'prɛʃɚ,n. 压力；压迫，[物] 压强；v. 迫使；密封；使……增压,They are putting pressure on people to vote yes.,他们正在向民众施加压力，要求他们投赞成票。
turn,tɝn,v. 转动，使旋转；转弯；翻过来；兑换；n. 转弯；变化；(损害或有益于别人的)行为，举动，举止,Ricky turned and walked away.,里基转身走了。
argue,'ɑrgjʊ,v. 争论，辩论；提出理由；n. (Argue)人名；(英、法)阿格,We could hear the neighbours arguing.,我们听到邻居在争吵。
support,sə'pɔrt,v. 支持，支撑，支援；扶持，帮助；赡养，供养；n. 支持，维持；支援，供养；支持者，支撑物,The bill was supported by a large majority in the Senate.,这项法案得到参议院绝大多数人的支持。
offer,'ɔfɚ,v. 提供；出价；试图；n. 提议；出价；意图；录取通知书,A number of groups offer their services free of charge.,一些团体免费提供服务。
understand,'ʌndɚ'stænd,v. 理解；懂；获悉；推断；省略,She doesn’t understand English.,她不懂英语。
history,ˈhɪstəri; ˈhɪstri,n. 历史，历史学；历史记录；来历,Throughout history the achievements of women have been largely ignored.,从古至今，妇女的成就都被大大地忽视了。
bring,brɪŋ,v. 带来；促使；引起；使某人处于某种情况或境地；n. (Bring)人名；(英、瑞典)布林,The discovery of gold brought thousands of people to the Transvaal.,黄金的发现把成千上万的人引到了德兰士瓦。
knowledge,'nɑlɪdʒ,n. 知识，学问；知道，认识；学科,He did not have much knowledge of American history.,他对美国历史所知不多。
medical,'mɛdɪkl,adj. 医学的；药的；内科的；n. 医生；体格检查,medical research,医学研究
rate,ret,n. 比率，率；速度；价格；等级；v. 认为；估价；责骂,Immediately his heart rate (= the number of beats per minute ) increased.,他的心率立即加快了。
continue,kən'tɪnju,v. 继续，延续；仍旧，连续,He will be continuing his education in the US.,他将在美国继续求学。
monkey,'mʌŋki,n. 猴子；顽童；v. 胡闹；捣蛋,"Stop that, you little monkey!",别这样，你这个小淘气鬼！
student,'studnt,n. 学生；学者,Warren's eldest son is an art student.,沃伦的长子是一名学艺术的学生。
smell,smɛl,v. 嗅，闻；有…气味；n. 气味，嗅觉；臭味,I can smell burning.,我闻到烧焦的气味。
single,'sɪŋɡl,adj. 单一的；单身的；单程的；n. 一个；单打；单程票；v. 选出,A single tree gave shade from the sun.,唯有一棵树遮阴。
average,'ævərɪdʒ,n. 平均；平均数；海损；adj. 平均的；普通的；通常的；v. 算出…的平均数；将…平均分配；使…平衡,The December figures brought the annual average for 2001 up to 10.6 per cent.,12月的数据将2001年的年平均水平提升到10.6%。
loss,lɔs,n. 减少；亏损；失败；遗失,"The company is closing down two of its factories, leading to 430 job losses .",公司要关闭其中的两家工厂，这将造成430人失业。
legal,'ligl,adj. 法律的；合法的；法定的；依照法律的；n. (Legal)人名；(法)勒加尔,What the company has done is perfectly legal.,公司所做的这一切完全合法。
effect,ɪ'fɛkt,n. 影响；效果；作用；v. 产生；达到目的,the long-term effects of the drug,这种毒品的长期影响
feeling,'filɪŋ,n. 感觉，触觉；感情，情绪；同情；adj. 有感觉的；有同情心的；富于感情的；v. 感觉；认为（feel的现在分词）；触摸,Knowing we’d won was a wonderful feeling.,得知我们赢了，感觉真好。
gamble,'ɡæmbl,v. 赌博；孤注一掷；投机；打赌；n. 赌博；冒险；打赌,Their religion forbids them to drink or gamble.,他们的宗教禁止饮酒和赌博。
writing,'raɪtɪŋ,n. 书写；作品；著作；[法] 笔迹；v. 书写（write的ing形式）,What does the writing on the back say?,背面的文字说什么？
share,ʃɛr,v. 分享，分担；分配；n. 份额；股份,As a kid he’d never share his toys.,他小时候从不肯与人分享他的玩具。
earn,ɝn,v. 赚，赚得；获得，挣得；使得到；博得；n. (Earn)人名；(泰)炎,"He earns nearly £20,000 a year.","他每年挣近20,000英镑。"
message,'mɛsɪdʒ,n. 消息；差使；启示；预言；广告词；v. 报信，报告；[通信] 报文,He left a message saying he would probably be a little late.,他留言说可能会晚一点来。
standard,'stændɚd,n. 标准；水准；旗；度量衡标准；adj. 标准的；合规格的；公认为优秀的,Students have to reach a certain standard or they won’t pass.,学生必须达到某一标准，否则无法通过。
quit,kwɪt,v. 离开；放弃；停止；使…解除；n. 离开；[计] 退出；adj. 摆脱了…的；已经了结的,He quit his job after an argument with a colleague.,他和一个同事争吵后就辞职了。
railroad,'relrod,v. 由铁道运输；铺设铁路；以捏造不实之罪使入狱；n. 铁路；铁路公司,The supplies were sent on the railroad.,补给经由铁路运送。
certain,'sɝtn,adj. 某一；必然的；确信；无疑的；有把握的；pron. 某些；某几个；n. (Certain)人名；(葡)塞尔塔因；(法)塞尔坦,I felt certain that I’d passed the test.,我感觉自己肯定通过这次测验了。
decision,dɪ'sɪʒn,n. 决定，决心；决议,Do you ever wonder if you made the right decision?,你怀疑过自己所作的决定是否正确吗？
performance,pɚ'fɔrməns,n. 性能；绩效；表演；执行；表现,This evening’s performance will begin at 8.00 pm.,今晚的演出8点开始。
concept,'kɑnsɛpt,n. 观念，概念,a new concept in business travel,商务旅行的新理念
class,klæs,n. 阶级；班级；种类；班；等级；v. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级；adj. 极好的；很好的，优秀的，出色的,He had to spend about six months in a class with younger students.,他不得不在一个比他小的学生的班上呆了大约六个月。
difference,'dɪfrəns,n. 差异；不同；争执,(= there’s a very big difference ) between us.,我们之间有着天壤之别。
genetic,dʒə'nɛtɪk,adj. 遗传的；基因的；起源的,genetic defects,遗传性缺陷
journal,'dʒɝnl,n. 日报，杂志；日记；分类账,the British Medical Journal,《英国医学杂志》
slave,sleɪv,n. 奴隶；从动装置；v. 苦干；拼命工作,a slave to fashion,时尚的奴隶
brain,bren,n. 头脑，智力；脑袋；v. 猛击…的头部,Messages from the brain are carried by the central nervous system.,大脑发出的信息是通过中枢神经系统传递的。
response,rɪ'spɑns,n. 响应；反应；回答,His immediate response was one of disbelief.,他的第一反应是不相信。
potential,pə'tɛnʃl,n. 潜能；可能性；[电] 电势；adj. 潜在的；可能的；势的,The boy has great potential.,这个男孩有很大的潜力。
site,saɪt,n. 地点；位置；场所；v. 设置；为…选址,an archaeological site,考古现场
produce,prə'dus,v. 生产；引起；创作；生育，繁殖；n. 农产品，产品,New drugs are producing remarkable results .,新药正在产生显著的效果。
