单词,美式音标,中文翻译,例句,例句翻译
reproduce,",riprə'dus",v. 复制；再生；生殖；使…在脑海中重现,The turtles return to the coast to reproduce.,海龟回到岸上繁殖。
independent,'ɪndɪ'pɛndənt,adj. 独立的；单独的；无党派的；不受约束的；n. 独立自主者；无党派者,There are plans to split the corporation into a number of smaller independent companies.,有计划要把这家大企业分割成一些独立的小公司。
trait,tret,n. 特性，特点；品质；少许,The study found that some alcoholics had clear personality traits showing up early in childhood.,这项研究发现一些酗酒者早在孩童时就表现出明显的个性特征。
levy,'lɛvi,n. 征收；征兵，征税；v. 征收（税等）；征集（兵等）,...an annual levy on all drivers.,…向所有司机征收的年税。
atmosphere,'ætməsfɪr,n. 气氛；大气；空气,The hotel had a lovely relaxed atmosphere .,那家宾馆的气氛轻松愉快。
defer,dɪ'fɝ,v. 推迟；延期；服从；n. (Defer)人名；(法)德费,The committee deferred their decision .,委员会延期作出决定。
ambition,æm'bɪʃən,n. 野心，雄心；抱负，志向；v. 追求；有…野心,He was young and full of ambition.,他年轻，而且雄心勃勃。
contemporary,kən'tɛmpərɛri,n. 同时代的人；同时期的东西；adj. 当代的；同时代的；属于同一时期的,"Like most of my contemporaries, I grew up in a vastly different world.",像我同时代的大多数人一样，我在一个非常不同的世界里长大。
attempt,ə'tɛmpt,n. 企图，试图；攻击；v. 企图，试图；尝试,He made no attempt to hide his anger.,他毫不掩饰自己的愤怒。
besides,bɪ'saɪdz,adv. 此外；而且；prep. 除…之外,"I need the money. And besides, when I agree to do something, I do it.",我需要这笔钱，而且，我一旦答应做什么事情就会做到。
gradual,'ɡrædʒuəl,adj. 逐渐的；平缓的；n. 弥撒升阶圣歌集,There has been a gradual change in climate.,气候渐渐发生了变化。
sense,sɛns,n. 感觉，功能；观念；道理；理智；v. 感觉到；检测,"Cats have a very acute sense of hearing (= very good, so that they can hear even the smallest sound ) .",猫的听觉非常敏锐。
convince,kən'vɪns,v. 说服；使确信，使信服,"Her arguments didn’t convince everyone, but changes were made.",她的论点不能说服每个人，但还是引起了一些变化。
imply,ɪm'plai,v. 意味；暗示；隐含,an implied threat,隐含的威胁
bloom,blum,n. 花；青春；旺盛；v. 使开花；使茂盛,beautiful red blooms,美丽的红花
prescribe,prɪ'skraɪb,v. 规定；开药方,What punishment does the law prescribe for this crime?,法律规定这种罪行应受何处罚？
parallel,'pærəlɛl,n. 平行线；对比；v. 使…与…平行；adj. 平行的；类似的，相同的,...the area south of the 38th parallel.,…38度纬线以南的地区。
absolute,'æbsəlut,adj. 绝对的；完全的；专制的；n. 绝对；绝对事物,I have absolute confidence in her.,我对她充满信心。
critic,'krɪtɪk,n. 批评家，评论家；爱挑剔的人,Mather was a film critic for many years.,马瑟做过多年的电影评论家。
stern,stɝn,n. 船尾；末端；adj. 严厉的；坚定的,It is placed in the stern of a boat.,它被放在船尾。
achieve,ə'tʃiv,v. 取得；获得；实现；成功,Frances achieved very good exam results.,弗朗西丝考试取得了优异成绩。
evil,'ivl,adj. 邪恶的；不幸的；有害的；讨厌的；n. 罪恶，邪恶；不幸,an evil dictator responsible for the deaths of millions,应对数百万人之死负责的邪恶独裁者
freeze,friz,v. 冻结；冷冻；僵硬；n. 冻结；凝固,The lake had frozen overnight.,湖上一夜之间就结了冰。
spontaneous,spɑn'tenɪəs,adj. 自发的；自然的；无意识的,The crowd gave a spontaneous cheer.,人群自发地欢呼起来。
stare,stɛr,v. 凝视，盯着看；显眼；n. 凝视；注视,She sat there staring into space (= looking for a long time at nothing ) .,她坐在那里，出神地凝视前方。
actually,'æktʃuəli,adv. 实际上；事实上,"I’ve known Barbara for years. Since we were babies, actually.",我认识芭芭拉很多年了，实际上我们从小就认识。
moisture,'mɔɪstʃɚ,n. 水分；湿度；潮湿；降雨量,Plants use their roots to absorb moisture from the soil.,植物利用根从土壤中吸收水分。
subject,ˈsʌbdʒekt,n. 主题；科目；[语] 主语；国民；adj. 服从的；易患…的；受制于…的；v. 使…隶属；使屈从于…,Paul has strong opinions on most subjects.,保罗在大多数问题上观点激烈。
comedy,'kɑmədi,n. 喜剧；喜剧性；有趣的事情,a career in stand-up comedy,单口喜剧表演职业
scarcely,'skɛrsli,adv. 几乎不，简直不；简直没有,The city had scarcely changed in 20 years.,这座城市20年中几乎没有什么改变。
recession,rɪ'sɛʃən,n. 衰退；不景气；后退；凹处,the economic recession of the early 1980s,20世纪80年代初的经济衰退
draft,dræft,n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流；v. 起草；制定；征募；adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的,the rough draft of his new novel,他的新小说的草稿
advance,əd'væns,n. 发展；前进；增长；预付款；v. 提出；预付；使……前进；将……提前；adj. 预先的；先行的,a major advance,一项重大进展
loom,lum,n. 织布机；若隐若现的景象；v. 可怕地出现；朦胧地出现；隐约可见,"Vincent loomed over me, as pale and grey as a tombstone.",文森特赫然出现在我面前，脸色苍白阴沉得像块墓碑。
pursue,pə'sʊ,v. 继续；从事；追赶；纠缠,She plans to pursue a career in politics.,她计划从政。
embody,ɪm'bɑdi,v. 体现，使具体化；具体表达；n. (Embody)人名；(英)恩博迪,She embodies everything I admire in a teacher.,她具备了我所钦佩的教师该具备的一切素质。
sacrifice,'sækrɪfaɪs,n. 牺牲；祭品；供奉；v. 牺牲；献祭；亏本出售,The minister stressed the need for economic sacrifice.,部长强调了在经济上作出牺牲的必要性。
superstition,",supɚ'stɪʃən",n. 迷信,the old superstition that walking under a ladder is unlucky,认为从梯子下面穿过不吉利的古老迷信
depart,dɪ'pɑrt,v. 离开；出发，起程；违反；去世；adj. 逝世的,Flights by Air Europe depart Gatwick on Tuesdays.,欧洲航空公司的航班每逢周二从盖特威克机场起飞。
certificate,"sɚˈtɪfɪkɪt; (for v.,) sɚˈtɪfɪˌket",v. 发给证明书；以证书形式授权给…；用证书批准；n. 证书；执照，文凭,a degree certificate,学位证书
documentary,'dɑkjə'mɛntri,adj. 记录的；文件的；记实的；n. 纪录片,documentary films,纪录影片
current,kɝ​ənt,adj. 现在的；流通的，通用的；最近的；草写的；n. （水，气，电）流；趋势；涌流,Current thinking suggests that toxins only have a small part to play in the build-up of cellulite.,流行的观点认为毒素只对脂肪团形成起很小的作用。
convert,kən'vɝt,v. 使转变；转换…；使…改变信仰；n. 皈依者；改变宗教信仰者,a 19th-century converted barn,由19世纪谷仓改建的房子
scorn,skɔrn,n. 轻蔑；嘲笑；藐视的对象；v. 轻蔑；藐视；不屑做,Researchers greeted the proposal with scorn.,研究者们对这个提议报以轻蔑的态度。
performance,pɚ'fɔrməns,n. 性能；绩效；表演；执行；表现,This evening’s performance will begin at 8.00 pm.,今晚的演出8点开始。
fluctuate,'flʌktʃʊ'et,v. 波动；涨落；动摇,Insect populations fluctuate wildly from year to year.,昆虫的数量每年变化很大。
deadly,'dɛdli,adj. 致命的；非常的；死一般的；adv. 非常；如死一般地,a deadly poison,致命的毒药
applicant,'æplɪkənt,n. 申请人，申请者；请求者,We have had lots of applicants for these positions.,对这些职位我们已有了很多申请人。
grind,ɡraɪnd,v. 磨碎；磨快；n. 磨；苦工作,a stone for grinding knives and scissors,磨刀剪的石头
prestige,prɛ'stidʒ,n. 威望，声望；声誉,The king wanted to enhance his prestige through war.,国王想通过战争来提高自己的威信。
literally,'lɪtərəli,adv. 照字面地；逐字地；不夸张地；正确地；简直,Dad was literally blazing with anger.,爸爸简直是火冒三丈。
acclaim,ə'klem,v. 称赞；为…喝彩，向…欢呼；n. 欢呼，喝彩；称赞,His work was acclaimed by art critics.,他的作品得到艺术评论家的推崇。
involve,ɪn'vɑlv,v. 包含；牵涉；使陷于；潜心于,What will the job involve?,这份工作包括什么？
comparative,kəm'pærətɪv,adj. 比较的；相当的；n. 比较级；对手,"After a lifetime of poverty, his last few years were spent in comparable comfort.",他穷了一辈子，最后几年还算过得比较舒适。
agent,'edʒənt,n. 代理人，代理商；药剂；特工；vt. 由…作中介；由…代理；adj. 代理的,Our agent in Rio deals with all our Brazilian business.,我们在里约热内卢的业务代表处理我们在巴西的全部业务。
concentrate,'kɑnsn'tret,v. 集中；浓缩；全神贯注；聚集；n. 浓缩，精选；浓缩液,Now please concentrate.,现在请集中注意力。
compound,'kɑmpaʊnd,n. [化学] 化合物；混合物；复合词；adj. 复合的；混合的；v. 合成；混合；恶化，加重；和解，妥协,man-made organic compounds,人造有机化合物
delegate,"ˈdɛləgɪt; (for v.,) ˈdɛləˌgeɪt",v. 委派…为代表；n. 代表,Officials have now been delegated to start work on a draft settlement.,官员们现已被委派开始准备一份拟定协议。
sensible,'sɛnsəbl,adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;；n. 可感觉到的东西; 敏感的人;,She seems very sensible.,她好像很明智。
multiple,'mʌltəpl,adj. 多重的；多样的；许多的；n. 倍数；[电] 并联,Baxter was rushed to the hospital with multiple stab wounds.,巴克斯特因多处刺伤被紧急送往医院。
facility,fə'sɪləti,n. 设施；设备；容易；灵巧,What recreational facilities are now available?,什么娱乐设施现在是可用的？
craft,kræft,n. 工艺；手艺；太空船；v. 精巧地制作,traditional rural crafts,传统的乡村手工艺
tragedy,'trædʒədi,n. 悲剧；灾难；惨案,The tragedy happened as they were returning home from a night out.,悲剧发生在他们夜里外出归来的路上。
rot,rɑt,n. 腐烂；腐败；腐坏；v. 腐烂；腐败；堕落；int. （表示厌恶、蔑视、烦恼等）胡说；糟了,the smell of rot,腐烂的气味
negligible,'nɛɡlɪdʒəbl,adj. 微不足道的，可以忽略的,The damage done to his property was negligible.,对他财产造成的损失微不足道。
undergo,",ʌndɚ'ɡo",v. 经历，经受；忍受,The country has undergone massive changes recently.,这个国家最近经历了巨大的变化。
